CCAA,FECHA,CASOS,PCR+,TestAc+,Hospitalizados,UCI,Fallecidos,New_Hosp,New_UCI,New_Fallecidos
AN,20/2/2020,0,0,,,,,,,
AR,20/2/2020,0,0,,,,,,,
AS,20/2/2020,0,0,,,,,,,
IB,20/2/2020,0,1,,,,,,,
CN,20/2/2020,0,1,,,,,,,
CB,20/2/2020,0,0,,,,,,,
CM,20/2/2020,0,0,,,,,,,
CL,20/2/2020,0,0,,,,,,,
CT,20/2/2020,0,0,,,,,,,
VC,20/2/2020,26,0,,26,0,,,,
EX,20/2/2020,0,0,,,,,,,
GA,20/2/2020,0,0,,,,,,,
MD,20/2/2020,0,1,,,,,,,
MC,20/2/2020,0,0,,,,,,,
NC,20/2/2020,0,0,,,,,,,
PV,20/2/2020,0,0,,,,,,,
RI,20/2/2020,0,0,,,,,,,
CE,20/2/2020,0,0,,,,,,,
ML,20/2/2020,0,0,,,,,,,
AN,21/2/2020,0,0,,,,,0,0,0
AR,21/2/2020,0,0,,,,,0,0,0
AS,21/2/2020,0,0,,,,,0,0,0
IB,21/2/2020,0,1,,,,,0,0,0
CN,21/2/2020,0,1,,,,,0,0,0
CB,21/2/2020,0,0,,,,,0,0,0
CM,21/2/2020,0,0,,,,,0,0,0
CL,21/2/2020,0,0,,,,,0,0,0
CT,21/2/2020,0,0,,,,,0,0,0
VC,21/2/2020,31,0,,30,1,,4,1,0
EX,21/2/2020,0,0,,,,,0,0,0
GA,21/2/2020,0,0,,,,,0,0,0
MD,21/2/2020,0,1,,,,,0,0,0
MC,21/2/2020,0,0,,,,,0,0,0
NC,21/2/2020,0,0,,,,,0,0,0
PV,21/2/2020,0,0,,,,,0,0,0
RI,21/2/2020,0,0,,,,,0,0,0
CE,21/2/2020,0,0,,,,,0,0,0
ML,21/2/2020,0,0,,,,,0,0,0
AN,22/2/2020,0,0,,,,,0,0,0
AR,22/2/2020,0,0,,,,,0,0,0
AS,22/2/2020,0,0,,,,,0,0,0
IB,22/2/2020,0,1,,,,,0,0,0
CN,22/2/2020,0,1,,,,,0,0,0
CB,22/2/2020,0,0,,,,,0,0,0
CM,22/2/2020,0,0,,,,,0,0,0
CL,22/2/2020,0,0,,,,,0,0,0
CT,22/2/2020,0,0,,,,,0,0,0
VC,22/2/2020,34,0,,33,1,,3,0,0
EX,22/2/2020,0,0,,,,,0,0,0
GA,22/2/2020,0,0,,,,,0,0,0
MD,22/2/2020,0,1,,,,,0,0,0
MC,22/2/2020,0,0,,,,,0,0,0
NC,22/2/2020,0,0,,,,,0,0,0
PV,22/2/2020,0,0,,,,,0,0,0
RI,22/2/2020,0,0,,,,,0,0,0
CE,22/2/2020,0,0,,,,,0,0,0
ML,22/2/2020,0,0,,,,,0,0,0
AN,23/2/2020,0,0,,,,,0,0,0
AR,23/2/2020,0,0,,,,,0,0,0
AS,23/2/2020,0,0,,,,,0,0,0
IB,23/2/2020,0,1,,,,,0,0,0
CN,23/2/2020,0,1,,,,,0,0,0
CB,23/2/2020,0,0,,,,,0,0,0
CM,23/2/2020,0,0,,,,,0,0,0
CL,23/2/2020,0,0,,,,,0,0,0
